"","ID Monitoreo","Fecha","Personal","Código","Código control","Tratamiento","Agua inicial","Altura","Crecimiento","Tasa de crecimiento","Tasa de crecimiento acumulada","Herviboría","Estado","Nuevas hojas","Flores","Frutos","Diámetro","Zona","Familia","Genero","Especie","Nombre común","Isla","Sitio específico","Latitud","Longitud","Sustrato","Altitud","Proyecto","Subproyecto","DAP","PlantingDate","cc","age"
"1",NA,2020-06-21,"David Cárdenas",13050,13092,"Hidrogel",NA,188,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Transición","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Santa Cruz","Rancho Terramar",-0.638599,-90.428896,"Rocoso-arenoso",415.77,"Restauración ecológica","Restauración rural",2.546479619,2021-03-11,-2.27668024369913,-0.720547945205479
"2",NA,2021-01-01,"Investigador",232,786,"Waterboxx®",NA,580,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",8.276037688,2013-10-16,10.5674419663202,7.21643835616438
"3",NA,2021-01-01,"Investigador",259,0,"Control",NA,510,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299638,-90.447358,"Humífero",354.79,"Restauración ecológica","Restauración rural",8.912655971,2013-05-29,11.9945682698698,7.6
"4",NA,2021-01-01,"Investigador",287,264,"Waterboxx®",NA,860,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299591,-90.44734,"Humífero",354.3,"Restauración ecológica","Restauración rural",13.05067482,2013-10-16,21.2708892642386,7.21643835616438
"5",NA,2021-01-01,"Investigador",294,277,"Waterboxx®",NA,700,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299562,-90.447384,"Humífero",355.02,"Restauración ecológica","Restauración rural",10.82251082,2013-10-16,16.2759471805186,7.21643835616438
"6",NA,2021-01-01,"Investigador",296,277,"Waterboxx®",NA,618,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299559,-90.447357,"Humífero",354.48,"Restauración ecológica","Restauración rural",7.00280112,2013-10-16,7.7131893547376,7.21643835616438
"7",NA,2021-01-01,"Investigador",312,316,"Waterboxx®",NA,800,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299534,-90.447261,"Humífero",354.01,"Restauración ecológica","Restauración rural",12.41405653,2013-05-29,19.8437629449969,7.6
"8",NA,2021-01-01,"Investigador",315,0,"Control",NA,705,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299529,-90.447317,"Humífero",353.96,"Restauración ecológica","Restauración rural",11.14081996,2013-05-29,16.9895103289308,7.6
"9",NA,2021-01-01,"Investigador",318,0,"Control",NA,715,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299542,-90.4474,"Humífero",353.68,"Restauración ecológica","Restauración rural",10.18589254,2013-05-29,14.8488208836942,7.6
"10",NA,2021-01-01,"Investigador",347,0,"Control",NA,850,NA,NA,NA,NA,"Bueno",NA,NA,NA,NA,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Floreana","Anibal Sanmiguel",-1.299466,-90.447454,"Humífero",354.79,"Restauración ecológica","Restauración rural",14.64222052,2013-05-29,24.8387050062996,7.6
