Codigo,Fecha,Personal,Equipo de Medida,Distancia,Angulo superior,Angulo inferior,Altura 1 (cm),Altura 2 (cm),Altura total (cm),Circunferencia Pecho (cm),DAP,Circunferencia Base (cm),DAB,Estado,Observaciones,Isla,Sitio específico,Latitud,Longitud,Altitud,
13050,21/6/2020,David Cárdenas,Metro,,,,,,188,8,2.546479619,14,4.456339334,Bueno,,Santa Cruz,Rancho Terramar,-0.638599,-90.428896,415.77,
232,1/1/2021,Investigador,Metro,,,,,,580,26,8.276037688,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299708,-90.44748,355.88,
259,1/1/2021,Investigador,Metro,,,,,,510,28,8.912655971,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299638,-90.447358,354.79,
287,1/1/2021,Investigador,Metro,,,,,,860,41,13.05067482,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299591,-90.44734,354.3,
294,1/1/2021,Investigador,Metro,,,,,,700,34,10.82251082,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299562,-90.447384,355.02,
296,1/1/2021,Investigador,Metro,,,,,,618,22,7.00280112,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299559,-90.447357,354.48,
312,1/1/2021,Investigador,Metro,,,,,,800,39,12.41405653,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299534,-90.447261,354.01,
315,1/1/2021,Investigador,Metro,,,,,,705,35,11.14081996,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299529,-90.447317,353.96,
318,1/1/2021,Investigador,Metro,,,,,,715,32,10.18589254,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299542,-90.4474,353.68,
347,1/1/2021,Investigador,Metro,,,,,,850,46,14.64222052,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299466,-90.447454,354.79,
353,1/1/2021,Investigador,Metro,,,,,,800,36,11.45912911,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299451,-90.447305,353.65,
364,1/1/2021,Investigador,Metro,,,,,,700,33,10.50420168,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299419,-90.44746,332.27,
366,1/1/2021,Investigador,Metro,,,,,,720,35,11.14081996,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299418,-90.44738,331.94,
367,1/1/2021,Investigador,Metro,,,,,,725,27,8.59434683,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299422,-90.447368,333.84,
371,1/1/2021,Investigador,Metro,,,,,,792,20,6.366182837,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299416,-90.447229,335.67,
375,1/1/2021,Investigador,Metro,,,,,,725,32,10.18589254,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299426,-90.44715,337.41,
376,1/1/2021,Investigador,Metro,,,,,,660,31,9.867583397,,,Bueno,,Floreana,Anibal Sanmiguel,-1.2995,-90.447133,337.73,
377,1/1/2021,Investigador,Metro,,,,,,665,27,8.59434683,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299486,-90.447149,338.06,
382,1/1/2021,Investigador,Metro,,,,,,800,26,8.276037688,,,Bueno,,Floreana,Anibal Sanmiguel,-1.299472,-90.447267,339.05,
