Código,Código control,Fecha siembra,Tratamiento,RetiroTratamiento,Agua inicial,Zona,Familia,Genero,Especie,Nombre común,Isla,Sitio específico,Latitud,Longitud,Sustrato,Altitud,Proyecto,Subproyecto
232,786,16/10/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299708,-90.44748,Humífero,355.88,Restauración ecológica,Restauración rural
234,787,16/10/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299702,-90.447451,Humífero,355.08,Restauración ecológica,Restauración rural
239,788,16/10/2013,Waterboxx®,26/6/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299655,-90.447447,Humífero,353.92,Restauración ecológica,Restauración rural
240,0,15/5/2013,Control,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299654,-90.447425,Humífero,353.78,Restauración ecológica,Restauración rural
241,0,12/12/2013,Control,26/6/2014,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299424,-90.447401,Humífero,332.77,Restauración ecológica,Restauración rural
242,0,15/5/2013,Control,12/12/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299655,-90.447404,Humífero,353.96,Restauración ecológica,Restauración rural
243,0,15/5/2013,Control,28/5/2014,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299658,-90.447386,Humífero,354.15,Restauración ecológica,Restauración rural
244,0,29/5/2013,Control,22/1/2014,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299657,-90.447381,Humífero,353.32,Restauración ecológica,Restauración rural
248,0,16/10/2013,Control,28/5/2014,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299667,-90.447185,Humífero,354.64,Restauración ecológica,Restauración rural
251,0,29/5/2013,Control,13/11/2013,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299642,-90.447087,Humífero,355.25,Restauración ecológica,Restauración rural
253,789,16/10/2013,Waterboxx®,22/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299638,-90.447113,Humífero,355.36,Restauración ecológica,Restauración rural
257,240,16/10/2013,Waterboxx®,22/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299634,-90.447295,Humífero,355.11,Restauración ecológica,Restauración rural
259,0,29/5/2013,Control,22/1/2014,5,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299638,-90.447358,Humífero,354.79,Restauración ecológica,Restauración rural
260,242,29/5/2013,Waterboxx®,22/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299641,-90.447387,Humífero,355.05,Restauración ecológica,Restauración rural
262,244,16/10/2013,Waterboxx®,27/11/2013,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299641,-90.447407,Humífero,353.9,Restauración ecológica,Restauración rural
