"","ID Monitoreo","Fecha","Personal","Código","Código control","Tratamiento","Agua inicial","Altura","Crecimiento","Tasa de crecimiento","Tasa de crecimiento acumulada","Herviboría","Estado","Nuevas hojas","Flores","Frutos","Diámetro","Zona","Familia","Genero","Especie","Nombre común","Observaciones","Isla","Sitio específico","Latitud","Longitud","Sustrato","Altitud","Proyecto","Subproyecto","DAP","PlantingDate","age"
"1",5926,2013-10-16,"Estalin Jiménez",232,786,"Waterboxx®",15,11,0,0,0,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","se_cambio_de_planta_nueva_scaleSia_lecocarpus","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0
"2",6581,2013-10-30,"Estalin Jiménez",232,786,"Waterboxx®",15,13,2,0.14,0.14,"No",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.0383561643835616
"3",7206,2013-11-13,"Estalin Jiménez",232,786,"Waterboxx®",15,18.5,5.5,0.39,0.27,"No",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.0767123287671233
"4",7816,2013-11-27,"Estalin Jiménez",232,786,"Waterboxx®",15,24,5.5,0.39,0.31,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.115068493150685
"5",8573,2013-12-12,"Estalin Jiménez",232,786,"Waterboxx®",15,25,1,0.07,0.25,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.156164383561644
"6",9125,2013-12-26,"Estalin Jiménez",232,786,"Waterboxx®",15,27,2,0.14,0.23,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.194520547945205
"7",9751,2014-01-08,"Estalin Jiménez",232,786,"Waterboxx®",15,31,4,0.31,0.24,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.23013698630137
"8",10429,2014-01-22,"Estalin Jiménez",232,786,"Waterboxx®",15,39,8,0.57,0.29,"Sí",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.268493150684932
"9",12302,2014-02-06,"Estalin Jiménez",232,786,"Waterboxx®",15,47,8,0.53,0.32,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.30958904109589
"10",12303,2014-03-05,"Estalin Jiménez",232,786,"Waterboxx®",15,51,4,0.15,0.29,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.383561643835616
"11",12304,2014-03-20,"Estalin Jiménez",232,786,"Waterboxx®",15,60,9,0.6,0.32,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299708,-90.44748,"Humífero",355.88,"Restauración ecológica","Restauración rural",NA,2013-10-16,0.424657534246575
